# AutoJS6 global inventory
# ts=Wed Sep 16 2026 13:50:12 GMT+0800 (GMT+08:00)
# views: this@topLevel{object}=SAME | global{object}=SAME | (function(){return this})(){object}=SAME | Function('return this')(){object}=SAME | runtime.topLevelScope{object}=SAME | engines.myEngine().scope{undefined}!=diff(false) | this.scope{undefined}!=diff(false)
# selfRef: global.global===global:true | 4级链===global:true | this.global===this:true
# selfTag=[object global] ctor=Object
# counts: ownPropertyNames=650 Object.keys=560 for-in=560
# protoTag=[object Object]
# name	typeof	ctor
Function	function	Function
Object	function	Function
Error	function	Function
CallSite	function	Function
decodeURI	function	Function
decodeURIComponent	function	Function
encodeURI	function	Function
encodeURIComponent	function	Function
escape	function	Function
isFinite	function	Function
isNaN	function	Function
isXMLName	function	Function
parseFloat	function	Function
parseInt	function	Function
unescape	function	Function
uneval	function	Function
eval	function	Function
NaN	number	-
Infinity	number	Number
undefined	undefined	-
globalThis	object	Object
AggregateError	function	Function
EvalError	function	Function
RangeError	function	Function
ReferenceError	function	Function
SyntaxError	function	Function
TypeError	function	Function
URIError	function	Function
InternalError	function	Function
JavaException	function	Function
Array	function	Function
String	function	Function
Boolean	function	Function
Number	function	Function
Date	function	Function
Math	object	Object
JSON	object	Object
With	function	Function
Call	function	Function
Script	function	Function
Iterator	function	Function
StopIteration	object	Object
RegExp	function	Function
Continuation	function	Function
XML	function	Function
XMLList	function	Function
Namespace	function	Function
QName	function	Function
ArrayBuffer	function	Function
Int8Array	function	Function
Uint8Array	function	Function
Uint8ClampedArray	function	Function
Int16Array	function	Function
Uint16Array	function	Function
Int32Array	function	Function
Uint32Array	function	Function
BigInt64Array	function	Function
BigUint64Array	function	Function
Float32Array	function	Function
Float64Array	function	Function
DataView	function	Function
Symbol	function	Function
Map	function	Function
Promise	function	Object
Set	function	Function
WeakMap	function	Function
WeakSet	function	Function
BigInt	function	Function
Proxy	function	Function
Reflect	object	Object
__GeneratorFunction	function	Function
Packages	object	[JavaPackage constructor.name]
getClass	function	Function
JavaAdapter	function	Function
JavaImporter	function	Function
java	object	[JavaPackage java.constructor.name]
javax	object	[JavaPackage javax.constructor.name]
org	object	[JavaPackage org.constructor.name]
com	object	[JavaPackage com.constructor.name]
edu	object	[JavaPackage edu.constructor.name]
net	object	[JavaPackage net.constructor.name]
jp	object	[JavaPackage jp.constructor.name]
de	object	[JavaPackage de.constructor.name]
okhttp3	object	[JavaPackage okhttp3.constructor.name]
androidx	object	[JavaPackage androidx.constructor.name]
kotlin	object	[JavaPackage kotlin.constructor.name]
ezy	object	[JavaPackage ezy.constructor.name]
okio	object	[JavaPackage okio.constructor.name]
io	object	[JavaPackage io.constructor.name]
eu	object	[JavaPackage eu.constructor.name]
android	object	[JavaPackage android.constructor.name]
importClass	function	Function
importPackage	function	Function
runtime	object	-
crash	function	-
context	object	-
require	function	Function
isAutoJs6	boolean	Boolean
toString	function	Function
TODO	function	Function
isUiThread	function	Function
isJavaObject	function	Function
isInteger	function	Function
isBigInt	function	Function
isPrimitive	function	Function
isReference	function	Function
isEmptyObject	function	Function
unwrapJavaObject	function	Function
toastVerbose	function	Function
toastverbose	function	Function
toastLog	function	Function
toastlog	function	Function
toastInfo	function	Function
toastinfo	function	Function
toastWarn	function	Function
toastwarn	function	Function
toastError	function	Function
toasterror	function	Function
sleep	function	Function
isStopped	function	Function
isShuttingDown	function	Function
notStopped	function	Function
isRunning	function	Function
exit	function	Function
stop	function	Function
setClip	function	Function
getClip	function	Function
currentPackage	function	Function
currentActivity	function	Function
currentComponent	function	Function
wait	function	Function
waitForActivity	function	Function
waitForPackage	function	Function
random	function	Function
setScreenMetrics	function	Function
requiresApi	function	Function
requiresAutojsVersion	function	Function
getScaleBases	function	Function
getScaleBaseX	function	Function
getScaleBaseY	function	Function
setScaleBases	function	Function
setScaleBaseX	function	Function
setScaleBaseY	function	Function
cX	function	Function
cY	function	Function
cYx	function	Function
cXy	function	Function
WIDTH	number	Number
HEIGHT	number	Number
axios	function	-
cheerio	object	Object
dayjs	function	Function
i18n	function	I18n
isObject	function	Function
isObjectSpecies	function	Function
isNullish	function	Function
util	object	Object
$util	object	Object
isJavaClass	function	Function
isJavaPackage	function	Function
species	function	Function
$species	function	Function
startActivity	function	Function
startDualActivity	function	Function
startService	function	Function
sendEmail	function	Function
sendBroadcast	function	Function
sendLocalBroadcastSync	function	Function
launch	function	Function
launchDual	function	Function
launchPackage	function	Function
launchDualPackage	function	Function
launchApp	function	Function
launchDualApp	function	Function
getPackageName	function	Function
getAppName	function	Function
launchAppDetailsSettings	function	Function
launchSettings	function	Function
openAppSetting	function	Function
openAppSettings	function	Function
launchDualAppDetailsSettings	function	Function
launchDualSettings	function	Function
openDualAppSetting	function	Function
openDualAppSettings	function	Function
isInstalled	function	Function
isDualInstalled	function	Function
uninstall	function	Function
uninstallDual	function	Function
kill	function	Function
killDual	function	Function
app	object	Object
$app	object	Object
R	object	-
autojs	object	Object
$autojs	object	Object
Menu	function	Function
Home	function	Function
Back	function	Function
Up	function	Function
Down	function	Function
Left	function	Function
Right	function	Function
OK	function	Function
VolumeUp	function	Function
VolumeDown	function	Function
Power	function	Function
Camera	function	Function
Text	function	Function
Input	function	Function
Tap	function	Function
Screencap	function	Function
KeyCode	function	Function
SetScreenMetrics	function	Function
Swipe	function	Function
shell	function	Function
$shell	function	Function
setTimeout	function	Function
setInterval	function	Function
setImmediate	function	Function
clearTimeout	function	Function
clearInterval	function	Function
clearImmediate	function	Function
loop	function	Function
keepAlive	function	Function
timers	object	Object
$timers	object	Object
auto	function	Function
$auto	function	Function
click	function	Function
longClick	function	Function
press	function	Function
swipe	function	Function
gesture	function	Function
gestureAsync	function	Function
gestures	function	Function
gesturesAsync	function	Function
scrollDown	function	Function
scrollUp	function	Function
input	function	Function
setText	function	Function
back	function	Function
home	function	Function
powerDialog	function	Function
notifications	function	Function
quickSettings	function	Function
recents	function	Function
splitScreen	function	Function
automator	object	Object
$automator	object	Object
$r8$lambda$ecbmWyzdcN_fbKkt8VTrvf5yxsY	function	Function
access$accessibilityFocus$jd	function	Function
access$clearAccessibilityFocus$jd	function	Function
access$clearFocus$jd	function	Function
access$clearSelection$jd	function	Function
access$click$jd	function	Function
access$collapse$jd	function	Function
access$contextClick$jd	function	Function
access$copy$jd	function	Function
access$cut$jd	function	Function
access$dismiss$jd	function	Function
access$dragCancel$jd	function	Function
access$dragDrop$jd	function	Function
access$dragStart$jd	function	Function
access$expand$jd	function	Function
access$focus$jd	function	Function
access$hideTooltip$jd	function	Function
access$imeEnter$jd	function	Function
access$longClick$jd	function	Function
access$moveWindow$jd	function	Function
access$nextAtMovementGranularity$jd	function	Function
access$nextHtmlElement$jd	function	Function
access$pageDown$jd	function	Function
access$pageLeft$jd	function	Function
access$pageRight$jd	function	Function
access$pageUp$jd	function	Function
access$paste$jd	function	Function
access$pressAndHold$jd	function	Function
access$previousAtMovementGranularity$jd	function	Function
access$previousHtmlElement$jd	function	Function
access$scrollBackward$jd	function	Function
access$scrollDown$jd	function	Function
access$scrollForward$jd	function	Function
access$scrollLeft$jd	function	Function
access$scrollRight$jd	function	Function
access$scrollTo$jd	function	Function
access$scrollUp$jd	function	Function
access$select$jd	function	Function
access$setProgress$jd	function	Function
access$setSelection$jd	function	Function
access$setText$jd	function	Function
access$show$jd	function	Function
access$showTextSuggestions$jd	function	Function
access$showTooltip$jd	function	Function
accessibilityFocus	function	Function
accessibilityFocused	function	Function
action	function	Function
algorithm	function	Function
bottom	function	Function
bounds	function	Function
boundsBottom	function	Function
boundsCenterX	function	Function
boundsCenterY	function	Function
boundsContains	function	Function
boundsHeight	function	Function
boundsInside	function	Function
boundsLeft	function	Function
boundsMaxBottom	function	Function
boundsMaxCenterX	function	Function
boundsMaxCenterY	function	Function
boundsMaxHeight	function	Function
boundsMaxLeft	function	Function
boundsMaxRight	function	Function
boundsMaxTop	function	Function
boundsMaxWidth	function	Function
boundsMinBottom	function	Function
boundsMinCenterX	function	Function
boundsMinCenterY	function	Function
boundsMinHeight	function	Function
boundsMinLeft	function	Function
boundsMinRight	function	Function
boundsMinTop	function	Function
boundsMinWidth	function	Function
boundsRight	function	Function
boundsTop	function	Function
boundsWidth	function	Function
centerX	function	Function
centerY	function	Function
checkable	function	Function
checked	function	Function
childCount	function	Function
className	function	Function
classNameContains	function	Function
classNameEndsWith	function	Function
classNameMatch	function	Function
classNameMatches	function	Function
classNameStartsWith	function	Function
clearAccessibilityFocus	function	Function
clearFocus	function	Function
clearSelection	function	Function
clickable	function	Function
collapse	function	Function
column	function	Function
columnCount	function	Function
columnSpan	function	Function
content	function	Function
contentContains	function	Function
contentEndsWith	function	Function
contentInvalid	function	Function
contentMatch	function	Function
contentMatches	function	Function
contentStartsWith	function	Function
contextClick	function	Function
contextClickable	function	Function
copy	function	Function
currentApp	function	Function
cut	function	Function
depth	function	Function
desc	function	Function
descContains	function	Function
descEndsWith	function	Function
descMatch	function	Function
descMatches	function	Function
descStartsWith	function	Function
dismiss	function	Function
dismissable	function	Function
dragCancel	function	Function
dragDrop	function	Function
dragStart	function	Function
drawingOrder	function	Function
editable	function	Function
enabled	function	Function
exists	function	Function
expand	function	Function
filter	function	Function
find	function	Function
findAndReturnList$app_appRelease	function	Function
findAndReturnList$app_appRelease$default	function	Function
findOf$app_appRelease	function	Function
findOnce	function	Function
findOne	function	Function
findOneOf$app_appRelease	function	Function
focus	function	Function
focusable	function	Function
focused	function	Function
getKEY	function	Function
getSearchAlgorithm$app_appRelease	function	Function
getSelector$app_appRelease	function	Function
hasChildren	function	Function
height	function	Function
hideTooltip	function	Function
id	function	Function
idContains	function	Function
idEndsWith	function	Function
idHex	function	Function
idMatch	function	Function
idMatches	function	Function
idStartsWith	function	Function
imeEnter	function	Function
indexInParent	function	Function
left	function	Function
longClickable	function	Function
maxBottom	function	Function
maxCenterX	function	Function
maxCenterY	function	Function
maxChildCount	function	Function
maxHeight	function	Function
maxLeft	function	Function
maxRight	function	Function
maxTop	function	Function
maxWidth	function	Function
minBottom	function	Function
minCenterX	function	Function
minCenterY	function	Function
minChildCount	function	Function
minHeight	function	Function
minLeft	function	Function
minRight	function	Function
minTop	function	Function
minWidth	function	Function
moveWindow	function	Function
multiLine	function	Function
nextAtMovementGranularity	function	Function
nextHtmlElement	function	Function
notify	function	Function
notifyAll	function	Function
packageName	function	Function
packageNameContains	function	Function
packageNameEndsWith	function	Function
packageNameMatch	function	Function
packageNameMatches	function	Function
packageNameStartsWith	function	Function
pageDown	function	Function
pageLeft	function	Function
pageRight	function	Function
pageUp	function	Function
password	function	Function
paste	function	Function
performAction	function	Function
pickup	function	Function
pressAndHold	function	Function
previousAtMovementGranularity	function	Function
previousHtmlElement	function	Function
right	function	Function
row	function	Function
rowCount	function	Function
rowSpan	function	Function
screenCenterX	function	Function
screenCenterY	function	Function
screenCoverage	function	Function
scrollBackward	function	Function
scrollForward	function	Function
scrollLeft	function	Function
scrollRight	function	Function
scrollTo	function	Function
scrollable	function	Function
select	function	Function
selected	function	Function
setProgress	function	Function
setSearchAlgorithm$app_appRelease	function	Function
setSelection	function	Function
setSelector$app_appRelease	function	Function
show	function	Function
showTextSuggestions	function	Function
showTooltip	function	Function
text	function	Function
textContains	function	Function
textEndsWith	function	Function
textMatch	function	Function
textMatches	function	Function
textStartsWith	function	Function
toStringReadable	function	Function
top	function	Function
untilFind	function	Function
untilFindOne	function	Function
visibleToUser	function	Function
waitFor	function	Function
width	function	Function
detect	function	Function
existsAll	function	Function
existsOne	function	Function
selector	function	Function
$selector	function	Function
events	object	Object
$events	object	Object
keys	object	Array
$keys	object	Object
Canvas	function	Function
captureScreen	function	Function
requestScreenCapture	function	Function
requestScreenCaptureAsync	function	Function
findColor	function	Function
findColorInRegion	function	Function
findColorEquals	function	Function
findMultiColors	function	Function
findImage	function	Function
findImageInRegion	function	Function
images	object	Object
$images	object	Object
ocr	function	Function
$ocr	function	Function
barcode	function	Function
$barcode	function	Function
qrcode	function	Function
$qrcode	function	Function
sync	function	Function
threads	object	Object
$threads	object	Object
ui	object	-
$ui	object	-
colors	object	Object
$colors	object	Object
Color	function	Function
tasks	object	Object
$tasks	object	Object
rawInput	function	Function
prompt	function	Function
alert	function	Function
confirm	function	Function
dialogs	object	Object
$dialogs	object	Object
continuation	object	Object
$continuation	object	Object
http	object	Object
$http	object	Object
newInjectableWebView	function	Function
newInjectableWebClient	function	Function
